Date,MAX,MIN,EVP,SSH,Glob_Rad,Diff_Rad
1981-01-01,28.3,12.7,3.6,9.8,18.59,3.02
1981-01-02,28.6,12.7,4.6,9.7,17.98,3.19
1981-01-03,28.6,12.0,3.2,9.7,17.37,3.04
1981-01-04,29.6,10.8,3.0,9.9,17.41,2.92
1981-01-05,30.4,10.0,3.9,10.1,15.72,2.89
1981-01-06,29.9,9.5,4.2,10.3,16.64,3.06
1981-01-07,29.8,10.8,3.6,9.8,15.82,3.27
1981-01-08,27.1,5.8,4.4,10.4,10.13,2.98
1981-01-09,25.3,6.2,3.6,10.3,15.8,3.17
1981-01-10,24.6,9.2,4.4,7.4,16.42,5.73
1981-01-11,25.2,11.5,2.9,5.4,15.54,7.8
1981-01-12,24.9,14.6,3.3,6.8,16.62,5.525
1981-01-13,23.6,10.7,3.3,10.4,18.11,3.25
1981-01-14,24.8,8.5,3.8,10.2,18.28,3.26
1981-01-15,25.9,9.4,3.8,10.2,19.11,3.11
1981-01-16,26.6,13.2,4.6,8.0,18.05,4.53
1981-01-17,28.0,14.7,4.6,8.1,17.52,4.765000000000001
1981-01-18,27.7,15.5,4.2,7.5,17.35,5.0
1981-01-19,24.5,13.0,2.4,9.6,18.76,3.6
1981-01-20,25.9,10.2,3.4,9.899999999999999,18.48,4.981805555555556
1981-01-21,28.2,11.3,3.9,10.2,18.5,4.771111111111111
1981-01-22,29.9,10.0,4.1,10.3,18.99,5.018750000000001
1981-01-23,30.2,9.9,4.0,10.4,19.0,3.21
1981-01-24,30.5,13.2,5.2,10.6,18.95,2.97
1981-01-25,26.8,14.2,4.9,9.9,18.76,3.09
1981-01-26,27.3,10.0,5.0,10.2,19.3,3.25
1981-01-27,30.0,10.3,4.2,10.3,19.43,2.96
1981-01-28,29.8,11.3,4.7,10.4,18.23263157894737,3.43
1981-01-29,31.0,12.7,4.2,10.5,18.162051282051284,3.33
1981-01-30,32.1,12.6,4.4,10.4,18.08128205128205,3.83
1981-01-31,32.8,9.9,5.7,10.5,18.13589743589744,3.22
1981-02-01,30.1,10.3,23.5,10.7,18.64,3.18
1981-02-02,28.4,7.3,5.8,10.7,21.45,2.64
1981-02-03,27.9,7.7,5.1,10.5,18.80441176470588,3.105
1981-02-04,32.0,9.8,4.5,10.4,18.805972222222223,3.57
1981-02-05,33.0,11.6,4.7,9.7,18.88337837837838,3.76
1981-02-06,33.4,12.3,6.0,10.6,21.56,3.3
1981-02-07,32.9,12.0,4.4,10.4,20.75,3.43
1981-02-08,32.5,11.2,5.3,10.7,19.82,2.95
1981-02-09,32.1,5.4,7.3,11.0,20.16,2.89
1981-02-10,31.3,5.7,5.6,10.8,20.535,5.0538235294117655
1981-02-11,30.7,6.5,5.6,10.8,20.91,5.245
1981-02-12,32.3,7.7,6.1,11.0,19.862894736842104,2.71
1981-02-13,33.4,6.0,6.6,10.9,19.93791666666667,2.67
1981-02-14,31.4,9.8,7.7,10.9,19.93014285714285,3.19
1981-02-15,30.7,10.6,7.2,10.7,19.97040540540541,3.71
1981-02-16,32.6,13.0,5.5,10.5,19.89,3.75
1981-02-17,32.9,13.5,5.9,10.0,22.14,4.41
1981-02-18,33.5,14.3,5.4,10.2,21.02,4.66
1981-02-19,35.0,14.1,5.8,10.3,21.14,5.025
1981-02-20,34.4,14.0,6.3,10.0,21.61,5.39
1981-02-21,34.8,14.6,6.4,10.0,21.03,10.22
1981-02-22,34.4,15.0,5.5,9.4,21.64,5.58
1981-02-23,35.4,15.5,5.3,7.7,21.97,4.99
1981-02-24,35.2,16.1,4.7,10.4,22.72,4.71
1981-02-25,34.4,15.0,7.0,10.4,22.68,4.87
1981-02-26,35.2,14.6,6.8,10.7,22.47,3.86
1981-02-27,35.2,14.0,7.2,10.5,22.575,4.24
1981-02-28,35.2,13.8,6.5,10.8,22.68,4.02
1981-03-01,35.6,11.9,7.9,10.0,23.525,3.745
1981-03-02,35.9,12.2,7.3,10.0,24.37,3.47
1981-03-03,36.0,13.3,7.6,10.0,23.46,4.11
1981-03-04,34.4,12.3,9.4,9.8,23.33,4.79
1981-03-05,34.2,12.2,9.4,9.9,23.2,5.54
1981-03-06,34.1,13.3,6.6,9.1,21.91527027027027,4.75
1981-03-07,35.1,15.0,6.9,9.4,22.05208333333333,5.69
1981-03-08,35.9,15.8,6.1,9.0,22.50567567567568,6.77
1981-03-09,35.7,15.8,8.3,9.5,22.12364864864865,5.91
1981-03-10,35.4,13.9,9.4,9.9,25.29,5.27
1981-03-11,35.1,13.5,9.0,7.9,24.82,5.0
1981-03-12,32.7,17.8,7.0,9.1,24.3,8.08
1981-03-13,33.9,12.4,8.9,9.9,24.26,6.25
1981-03-14,33.9,14.3,7.1,7.2,23.28,4.36
1981-03-15,34.6,20.0,7.1,5.2,-0.11,9.0
1981-03-16,33.6,16.6,7.7,5.5,23.48,8.39
1981-03-17,32.5,18.7,8.6,9.4,21.64,7.78
1981-03-18,35.6,15.0,9.5,10.2,22.969473684210527,6.3
1981-03-19,35.0,17.4,9.4,7.2,22.698947368421056,4.04
1981-03-20,32.1,19.8,7.4,4.0,24.07,9.62
1981-03-21,30.4,15.3,6.4,9.7,24.475,9.9
1981-03-22,33.3,13.8,10.8,10.1,24.88,6.715
1981-03-23,34.4,10.9,9.6,10.1,23.68,3.53
1981-03-24,34.2,13.2,7.7,9.8,24.48,4.02
1981-03-25,33.5,12.5,7.8,10.1,24.6,4.34
1981-03-26,34.9,14.1,8.2,10.0,24.92,3.96
1981-03-27,36.0,15.8,9.5,9.5,24.1,3.52
1981-03-28,36.3,15.6,8.8,10.0,22.61,4.93
1981-03-29,37.3,17.5,9.3,9.9,22.75,4.33
1981-03-30,37.8,17.8,10.3,10.0,23.66,5.25
1981-03-31,36.5,17.1,10.7,10.4,25.49,6.04
1981-04-01,36.5,19.1,12.5,10.5,25.51,4.87
1981-04-02,35.5,19.2,12.1,10.4,26.29,3.57
1981-04-03,36.1,15.1,11.7,10.3,24.6,3.57
1981-04-04,37.1,16.7,10.6,10.5,25.42,4.04
1981-04-05,35.5,13.0,9.2,10.3,22.48,4.22
1981-04-06,38.5,16.5,10.7,9.1,22.26,4.04
1981-04-07,37.9,16.8,9.2,9.7,20.09,8.77
1981-04-08,39.1,17.2,9.7,9.9,24.43,7.49
1981-04-09,39.4,18.2,9.1,9.4,24.07,7.39
1981-04-10,39.8,18.3,11.5,9.9,22.58,0.0
1981-04-11,40.0,18.7,11.5,9.9,25.35,6.26
1981-04-12,40.6,19.0,9.1,10.0,25.43,6.24
1981-04-13,40.6,20.2,10.7,10.8,23.74,6.66
1981-04-14,42.1,24.1,12.4,11.0,25.36,6.67
1981-04-15,38.9,23.7,13.0,11.3,24.75605263157895,6.33
1981-04-16,39.0,20.5,12.3,11.4,-0.1,6.04
1981-04-17,36.5,18.0,12.8,11.6,-0.11,6.01
1981-04-18,37.2,16.8,12.2,11.7,-0.11,4.6
1981-04-19,36.9,16.2,13.3,11.8,23.08,5.18
1981-04-20,37.7,20.3,12.3,11.8,23.92,4.32
1981-04-21,37.5,20.2,12.2,11.7,24.75038461538461,4.78
1981-04-22,36.3,18.2,11.6,11.1,24.79105263157895,5.24
1981-04-23,36.2,19.3,11.2,10.7,25.9,5.97
1981-04-24,37.8,21.2,9.4,7.9,26.62,9.53
1981-04-25,37.7,21.7,7.5,10.3,25.79,7.69
1981-04-26,39.4,25.3,10.2,7.9,26.2,9.97
1981-04-27,38.4,22.8,10.8,10.2,25.55,7.75
1981-04-28,37.5,22.9,9.7,3.2,18.41,7.21
1981-04-29,36.0,23.4,7.4,3.4,26.81,8.645
1981-04-30,36.3,21.2,10.0,8.8,26.265,10.08
1981-05-01,36.8,20.2,7.4,10.3,25.72,7.525
1981-05-02,38.7,19.3,5.3,9.7,17.49,4.97
1981-05-03,37.3,23.2,8.5,11.6,23.71,4.57
1981-05-04,38.0,21.9,9.6,11.5,22.415,7.35
1981-05-05,38.3,23.3,10.8,10.7,21.12,5.13
1981-05-06,37.4,20.3,9.3,11.7,24.01,5.495
1981-05-07,36.5,22.0,12.1,10.9,26.9,5.86
1981-05-08,37.0,22.9,9.4,10.9,25.78,7.555
1981-05-09,37.7,21.6,10.1,11.2,25.054722222222225,9.25
1981-05-10,36.8,20.8,9.5,11.8,25.047236842105264,7.51
1981-05-11,36.1,20.3,9.7,10.0,28.33,6.28
1981-05-12,37.3,23.1,10.2,11.1,28.22,6.97
1981-05-13,36.9,23.4,11.1,11.4,22.03,7.03
1981-05-14,37.1,24.2,11.1,11.0,24.285,7.51
1981-05-15,37.8,24.4,11.8,11.3,26.54,10.21
1981-05-16,36.1,21.4,11.4,11.4,26.265,7.0
1981-05-17,36.7,22.8,12.0,11.6,25.99,7.11
1981-05-18,37.8,23.4,13.3,12.0,26.515,5.91
1981-05-19,37.8,23.4,14.4,12.1,27.04,5.28
1981-05-20,35.9,23.2,14.2,11.8,27.09,5.44
1981-05-21,35.3,24.5,13.3,11.4,25.52135135135135,6.779999999999999
1981-05-22,35.1,23.2,12.4,11.2,25.63541666666667,8.12
1981-05-23,36.5,24.1,12.2,11.5,28.06,8.78
1981-05-24,35.3,23.6,12.3,11.5,27.575,7.75
1981-05-25,36.2,23.5,12.3,11.4,27.09,7.72
1981-05-26,36.7,24.1,10.6,11.4,25.093529411764703,7.94
1981-05-27,39.1,20.3,12.0,11.2,25.26897058823529,7.06
1981-05-28,36.0,23.5,10.4,11.9,25.79,8.35
1981-05-29,36.5,23.3,13.2,12.3,26.65,7.34
1981-05-30,37.6,23.9,11.9,11.9,28.79,6.33
1981-05-31,38.2,23.9,14.2,11.9,28.58,6.34
1981-06-01,37.5,23.5,8.5,8.5,29.02,8.469999999999999
1981-06-02,37.0,24.8,13.3,7.6,19.58,10.6
1981-06-03,36.5,24.0,6.7,7.8,17.805,7.86
1981-06-04,36.5,25.0,6.9,7.4,16.03,8.51
1981-06-05,35.8,21.5,6.0,3.9,17.65,9.16
1981-06-06,30.3,24.5,5.1,9.8,22.70430555555556,11.51
1981-06-07,33.5,24.5,9.0,10.600000000000001,21.62625,11.23
1981-06-08,34.3,25.0,12.0,11.4,13.82,11.85
1981-06-09,34.9,24.5,9.2,9.0,23.48,10.65
1981-06-10,34.1,24.6,9.2,9.8,24.81,9.815
1981-06-11,35.4,24.4,10.8,7.6,24.49,8.98
1981-06-12,36.4,22.3,6.1,5.1,21.67,7.93
1981-06-13,32.5,23.2,5.5,5.7,20.09,8.61
1981-06-14,33.0,24.3,7.0,9.2,22.67,12.88
1981-06-15,34.3,24.0,7.7,6.3,19.630000000000003,10.74
1981-06-16,34.1,24.7,7.4,10.4,16.59,13.49
1981-06-17,35.0,24.7,9.3,4.2,12.96,13.08
1981-06-18,32.6,24.0,8.0,5.9,21.52,12.67
1981-06-19,33.7,21.1,8.4,9.0,18.36,12.4
1981-06-20,32.3,20.6,12.0,4.7,17.710500000000003,11.393793103448274
1981-06-21,29.9,23.7,7.9,6.6,18.610454545454548,12.648636363636363
1981-06-22,31.2,24.2,7.4,10.1,19.219848484848487,15.68
1981-06-23,32.1,24.2,8.6,6.7,19.588428571428576,13.49
1981-06-24,31.5,23.4,8.6,0.3,8.12,16.71
1981-06-25,30.4,22.3,4.4,3.0,16.82,10.6
1981-06-26,29.2,22.3,7.2,0.3,17.105,15.98
1981-06-27,26.3,21.7,3.7,4.8,17.39,11.79
1981-06-28,27.1,21.5,4.2,5.7,13.61,11.605441176470586
1981-06-29,29.8,22.6,5.5,6.4,9.83,11.316666666666666
1981-06-30,28.9,22.2,5.5,1.9,16.52,11.40638888888889
1981-07-01,29.1,21.0,4.4,0.6,12.96,14.16
1981-07-02,27.5,22.2,4.6,0.5,13.36,11.930857142857144
1981-07-03,25.7,21.8,5.199999999999999,3.9,7.63,11.786060606060603
1981-07-04,28.6,22.5,5.8,2.2,12.245,12.42
1981-07-05,27.2,22.4,0.4,2.7,16.86,12.59
1981-07-06,29.1,23.0,4.5,3.2,17.259999999999998,13.17
1981-07-07,28.2,21.8,4.6,0.5,17.66,12.03
1981-07-08,27.7,21.8,2.8,0.0,15.76,11.91
1981-07-09,25.3,20.1,3.6999999999999997,0.0,17.555,5.68
1981-07-10,24.3,21.1,4.6,4.1,19.35,6.29
1981-07-11,27.5,22.6,4.5,4.2,17.02,11.15
1981-07-12,27.6,22.7,4.5,6.9,14.69,12.25
1981-07-13,27.7,22.6,2.0,2.1,13.81,13.32
1981-07-14,28.0,22.5,3.7,0.1,15.821315789473685,12.21
1981-07-15,27.5,23.4,3.9,6.7,16.672027027027028,11.1
1981-07-16,28.8,21.9,5.7,6.6,15.62472972972973,11.576142857142855
1981-07-17,28.2,22.1,5.2,6.0,19.07,11.623970588235292
1981-07-18,27.8,22.4,4.8,0.3,17.77,13.71
1981-07-19,26.4,22.0,2.3,1.0,16.69,11.209722222222222
1981-07-20,26.4,22.3,2.9,4.8,16.38,11.182285714285715
1981-07-21,28.6,22.3,4.2,4.8,17.17,11.445833333333333
1981-07-22,28.2,22.2,4.1,2.9,14.576714285714283,11.413484848484847
1981-07-23,28.0,21.8,4.0,0.4,14.551285714285717,12.29
1981-07-24,26.7,21.6,2.1,0.5,14.649999999999997,9.99
1981-07-25,25.8,22.0,2.0,4.0,11.23,12.4
1981-07-26,27.1,21.7,1.9,3.7,11.68,13.465
1981-07-27,28.3,22.3,4.0,2.3,11.605,14.53
1981-07-28,28.6,22.4,4.1,2.7,11.53,13.68
1981-07-29,28.7,21.2,3.4,3.9,15.93,12.83
1981-07-30,28.1,22.3,3.4,3.0,15.82,12.95
1981-07-31,27.9,22.1,3.7,1.1,13.78,12.53
1981-08-01,27.0,21.8,2.5,1.5,12.7,11.58
1981-08-02,27.9,22.6,3.4,0.6,11.17,11.35
1981-08-03,27.6,22.4,3.3,0.1,7.31,13.83
1981-08-04,26.2,21.7,1.5,2.3,6.59,8.41
1981-08-05,26.8,21.3,2.9,0.0,15.78,7.125
1981-08-06,24.5,20.4,1.5,0.2,13.75,5.84
1981-08-07,24.3,21.2,8.7,0.0,11.84,8.16
1981-08-08,25.0,21.3,4.2,0.4,15.92,8.83
1981-08-09,26.3,21.5,3.3,1.8,17.04,11.77
1981-08-10,26.8,22.2,3.8,3.3,13.64,12.79
1981-08-11,27.1,22.4,5.1,8.9,15.81,11.94
1981-08-12,27.8,20.8,4.9,5.7,18.77,11.09
1981-08-13,27.8,22.1,4.2,3.4,16.78,13.52
1981-08-14,27.1,22.1,3.7,6.0,11.91,14.18
1981-08-15,27.5,22.1,5.2,0.8,12.08,14.84
1981-08-16,26.6,22.3,3.4,0.0,13.33,10.24
1981-08-17,24.8,22.2,2.2,7.7,16.83,7.76
1981-08-18,27.9,22.0,4.2,5.3,16.12,10.45
1981-08-19,27.9,21.9,4.5,2.4,14.78,13.14
1981-08-20,27.2,21.8,2.6,4.1,15.89,12.234393939393938
1981-08-21,27.0,21.8,2.8,3.2,15.679545454545451,11.02787878787879
1981-08-22,26.9,21.5,3.4,3.4,16.15625,11.798142857142858
1981-08-23,26.9,21.5,2.1,4.0,16.220135135135134,12.193333333333335
1981-08-24,27.0,20.8,3.0,4.0,16.23236842105263,12.19
1981-08-25,27.3,20.3,3.5,3.5,15.730135135135134,12.11
1981-08-26,28.1,21.2,3.0,7.5,14.72,12.2
1981-08-27,29.1,20.3,4.8,7.6,15.22,12.39
1981-08-28,28.5,20.1,5.1,5.6,15.49,12.03
1981-08-29,26.7,20.8,2.7,6.6,18.88,12.04
1981-08-30,29.5,20.6,7.0,10.1,19.86,10.45
1981-08-31,30.2,20.6,5.9,10.0,15.79,9.59
1981-09-01,30.2,20.0,11.5,9.7,13.97,9.54
1981-09-02,30.2,20.8,5.3,5.1,12.07,10.65810810810811
1981-09-03,29.6,21.4,5.2,5.8,10.45,10.462714285714286
1981-09-04,30.1,20.4,5.5,7.1,12.51,14.81
1981-09-05,30.4,21.8,7.3,5.0,11.84,11.565
1981-09-06,32.0,21.3,2.8,0.0,17.23,8.32
1981-09-07,24.5,21.2,2.1,3.8,19.02,4.51
1981-09-08,29.3,21.8,3.4,2.8,20.4,12.41
1981-09-09,29.7,22.0,4.0,5.7,20.81,13.32
1981-09-10,29.8,21.2,4.1,0.9,21.955,11.69
1981-09-11,28.6,22.0,2.0,5.5,23.1,9.49
1981-09-12,29.2,21.2,3.9,4.1,23.31,9.79
1981-09-13,30.5,21.3,2.7,9.9,21.31,8.94
1981-09-14,31.6,22.3,5.3,9.3,16.24,5.3
1981-09-15,32.2,22.4,5.6,6.6,15.66,6.18
1981-09-16,31.6,22.1,4.1,3.3,22.65,8.004999999999999
1981-09-17,30.0,20.8,3.9499999999999997,9.1,18.172105263157896,9.83
1981-09-18,31.2,21.2,3.8,9.0,17.976499999999998,6.94
1981-09-19,31.6,22.8,5.4,7.3,20.5,9.809444444444445
1981-09-20,31.6,21.7,6.1,5.3,20.29,9.966212121212122
1981-09-21,29.9,20.6,6.2,9.8,22.39,9.546470588235294
1981-09-22,30.0,23.2,4.0,6.3,17.4725,6.88
1981-09-23,29.2,22.2,4.8,0.4,18.187027027027025,9.715
1981-09-25,27.0,21.7,2.8,4.8,17.55,12.55
1981-09-26,28.4,21.4,4.0,5.2,18.49161764705882,11.14
1981-09-27,29.2,22.4,4.3,2.0,22.84,10.18
1981-09-28,27.2,21.7,3.8,6.6,19.03742857142857,11.61
1981-09-29,29.1,21.8,4.7,2.9,17.51878787878788,12.26
1981-09-30,28.1,20.3,3.1,4.2,16.83,9.97
1981-10-01,28.7,20.0,4.1,10.1,17.96457142857143,10.81
1981-10-02,31.0,19.6,5.2,9.5,18.76142857142857,12.92
1981-10-03,30.7,22.2,4.0,2.0,17.765294117647063,5.74
1981-10-04,27.9,18.8,2.5,8.9,17.53763888888889,7.86
1981-10-05,30.3,19.2,3.5,7.1,16.88291666666667,9.12
1981-10-06,30.6,19.6,3.6,9.9,17.475,7.13
1981-10-07,32.4,22.4,5.9,5.8,17.43088235294118,7.94
1981-10-08,31.7,21.8,3.8,4.2,18.99712121212121,5.45
1981-10-09,31.5,21.8,2.6,8.1,18.04428571428572,7.46
1981-10-10,31.8,21.5,4.1,8.0,22.87,5.83
1981-10-11,32.5,22.2,4.4,6.9,23.33,5.325
1981-10-13,32.7,19.3,4.5,8.3,18.03727272727273,4.82
1981-10-14,32.5,17.4,4.5,10.0,17.69272727272727,8.99
1981-10-15,33.2,13.4,6.5,10.3,18.693,4.08
1981-10-16,32.9,13.4,6.0,10.2,18.641184210526315,7.564358974358974
1981-10-17,33.2,13.5,4.8,10.0,18.855714285714285,7.245277777777779
1981-10-18,33.8,15.2,5.0,10.0,19.66614285714285,2.72
1981-10-19,34.2,16.8,2.6,7.5,19.18184210526316,2.73
1981-10-20,32.7,19.8,7.2,9.1,18.80194444444444,3.47
1981-10-21,32.8,17.9,6.6,8.8,18.374305555555555,4.08
1981-10-22,33.4,16.8,4.8,9.5,18.624743589743588,6.68
1981-10-23,32.8,15.8,5.7,5.9,18.60710526315789,6.51
1981-10-24,32.3,19.2,5.4,5.5,18.50442857142857,6.59
1981-10-26,30.2,20.8,2.8,3.7,18.898333333333333,4.3
1981-10-27,30.5,20.4,4.3,10.5,18.74013157894737,6.08
1981-10-28,31.5,20.8,5.2,7.2,18.865277777777777,8.55
1981-10-29,30.6,22.3,5.1,2.8,18.179285714285715,8.45
1981-10-30,29.0,22.1,3.5,5.3,20.73,7.14
1981-10-31,29.1,21.6,3.2,8.5,20.32,5.02
1981-11-01,30.7,20.8,4.3,10.0,20.56,7.53
1981-11-02,30.0,17.6,4.0,3.0,20.8,9.19
1981-11-03,27.3,20.1,3.0,8.2,21.34,9.69
1981-11-04,29.6,18.4,4.4,7.9,19.19,7.07
1981-11-05,29.7,19.6,3.1,9.9,18.8,8.025
1981-11-06,31.4,17.5,4.3,10.6,16.32,8.98
1981-11-07,31.1,13.2,4.7,10.0,18.2,8.370000000000001
1981-11-08,30.5,13.9,5.3,10.4,19.32,7.76
1981-11-09,32.1,16.9,3.5,9.9,19.79,5.36
1981-11-10,32.7,20.3,5.2,8.0,20.26,2.12
1981-11-11,32.4,17.2,6.2,9.9,19.18,2.6500000000000004
1981-11-12,31.4,15.4,5.4,10.25,21.3,3.18
1981-11-13,30.3,15.4,4.0,10.6,19.59,3.82
1981-11-14,30.6,13.6,4.1,10.6,20.48,6.35
1981-11-15,29.4,12.6,4.6,10.5,20.78,5.01
1981-11-16,29.3,12.5,3.9,10.4,19.58,5.357714285714286
1981-11-18,29.3,12.0,3.9,10.2,15.57,5.495
1981-11-19,30.2,10.9,6.0,9.7,9.81,2.88
1981-11-20,28.8,9.6,4.3,10.4,7.46,2.65
1981-11-21,28.7,8.5,3.7,10.1,9.845,2.82
1981-11-22,26.9,8.8,4.1,10.3,12.23,2.84
1981-11-23,27.5,6.8,4.5,10.3,12.57,2.88
1981-11-24,27.5,7.2,4.3,10.1,15.2,3.75
1981-11-25,29.1,7.2,4.0,10.2,17.187727272727273,3.17
1981-11-26,29.1,8.8,4.0,10.1,17.528714285714287,3.39
1981-11-27,28.2,8.4,4.3,9.5,12.72,3.2
1981-11-28,28.7,8.3,4.5,10.3,17.178857142857144,2.93
1981-11-29,28.2,8.8,4.8,10.3,17.494705882352942,3.02
1981-11-30,28.7,9.0,4.3,10.2,18.9,3.35
1981-12-01,28.8,10.1,5.0,9.6,18.58,3.18
1981-12-02,29.1,12.0,4.4,9.8,18.83,3.21
1981-12-03,30.8,14.2,3.2,9.2,18.04,6.9
1981-12-04,29.6,15.2,3.2,9.9,18.385,2.85
1981-12-05,31.7,17.3,3.6,6.3,18.73,2.96
1981-12-06,29.7,15.9,2.9,9.0,18.48,3.18
1981-12-07,30.3,13.3,4.2,9.8,17.81,3.75
1981-12-08,28.5,10.5,3.9,10.0,17.62,4.28
1981-12-09,28.3,9.6,3.4,10.1,17.28,4.66
1981-12-10,26.9,5.8,3.8,10.3,16.94,5.12
1981-12-11,25.7,4.7,4.2,10.4,17.79,5.58
1981-12-12,25.8,5.0,3.6,10.4,16.73,2.81
1981-12-13,25.2,6.0,4.1,10.3,29.92,3.26
1981-12-14,27.3,8.0,4.0,9.9,23.805,3.13
1981-12-15,28.2,12.8,3.9,9.5,17.69,2.58
1981-12-16,29.2,14.8,3.5,8.2,17.73,2.44
1981-12-17,29.7,15.7,3.7,7.9,17.3,2.63
1981-12-18,30.1,16.0,3.2,10.1,17.94,2.79
1981-12-19,32.0,17.8,4.1,8.2,18.22,3.26
1981-12-20,29.9,17.8,3.1,7.8,18.69,4.986315789473684
1981-12-21,29.1,15.0,3.1,2.0,19.14,4.729166666666667
1981-12-22,26.8,16.4,3.2,3.4,19.03,4.839571428571428
1981-12-23,27.8,16.1,3.7,5.2,18.48,4.721666666666666
1981-12-24,28.2,13.5,4.0,9.4,18.48,4.609999999999999
1981-12-25,30.4,14.3,3.6,9.3,17.88,4.468235294117647
1981-12-26,30.2,13.1,3.5,9.6,16.369999999999997,4.51
1981-12-27,29.0,15.2,4.2,9.9,16.368472222222223,9.05
1981-12-28,28.1,11.0,4.4,9.8,11.82,8.1
1981-12-29,27.6,9.6,3.8,9.4,19.33,2.94
1981-12-30,27.2,8.6,4.3,10.0,15.299714285714286,3.915
1981-12-31,27.6,9.8,3.9,9.7,15.94857142857143,4.89
1982-01-01,28.8,10.6,4.2,7.7,16.29,6.88
1982-01-02,28.1,10.8,3.5,9.4,16.27,3.99
1982-01-03,28.9,11.3,3.9,9.7,11.08,5.87
1982-01-04,31.2,11.8,3.3,9.9,14.67,5.024428571428572
1982-01-05,31.1,12.3,3.7,5.7,16.35,4.833636363636363
1982-01-06,27.6,12.8,2.8,5.7,17.31,4.836944444444445
1982-01-07,29.2,11.4,4.7,10.2,17.35,4.993611111111111
1982-01-08,28.6,9.7,4.4,10.1,17.73,4.887567567567568
1982-01-09,28.7,12.2,4.0,9.9,17.94,5.009358974358974
1982-01-10,29.1,14.8,3.8,7.9,18.54,7.87
1982-01-11,28.6,12.8,5.3,8.0,18.02,3.51
1982-01-12,27.4,12.4,3.6,10.1,18.63,3.31
1982-01-13,29.0,10.4,3.9,10.2,19.94,3.31
1982-01-14,28.7,10.6,4.5,10.2,19.55,4.5
1982-01-15,29.5,12.2,4.7,9.8,15.96,5.13
1982-01-16,30.6,13.2,4.0,8.2,13.73,4.52
1982-01-17,30.6,12.8,4.1,9.4,16.42,3.91
1982-01-18,31.3,12.2,4.1,9.8,19.11,3.89
1982-01-19,31.5,11.9,5.0,8.2,18.96,4.0
1982-01-20,30.6,12.0,4.7,9.8,19.18,4.55
1982-01-21,31.0,12.8,4.1,10.1,17.52,4.99
1982-01-22,30.0,12.0,4.9,9.9,16.955,4.32
1982-01-23,29.4,11.2,4.2,10.0,16.39,3.77
1982-01-24,29.9,11.8,3.7,9.7,19.21,4.205
1982-01-25,31.2,12.4,4.5,8.6,20.13,4.64
1982-01-26,30.3,14.0,5.9,9.6,17.469,3.8
1982-01-27,28.4,12.4,3.9,9.1,17.357428571428567,6.02
1982-01-28,29.1,12.8,3.3,9.2,19.95,4.64
1982-01-29,30.7,14.6,4.0,7.9,20.66,4.86
1982-01-30,31.7,15.8,3.5,8.5,20.23,5.83
1982-01-31,31.2,16.0,4.0,7.9,20.09,6.24
1982-02-01,28.9,15.2,3.2,8.0,19.85,5.41
1982-02-02,30.2,15.0,3.8,9.3,19.2,5.19
1982-02-03,31.3,12.0,4.9,10.2,19.47,5.64
1982-02-04,29.6,12.4,5.9,10.1,19.81,5.87
1982-02-05,27.9,11.3,4.3,10.1,20.92,6.98
1982-02-06,29.7,8.7,4.6,10.4,21.28,5.35
1982-02-07,31.0,9.8,5.5,10.4,21.39,5.73
1982-02-08,31.1,11.0,5.1,10.3,20.74,4.19
1982-02-09,31.4,12.6,4.5,10.3,20.09,5.01
1982-02-10,33.0,13.5,4.5,10.5,19.84,4.9
1982-02-11,33.7,14.8,4.8,10.3,19.94,4.46
1982-02-12,34.5,16.8,6.7,10.6,19.62,3.72
1982-02-13,29.2,13.1,7.9,10.6,21.51,4.11
1982-02-14,31.6,11.6,4.5,10.2,23.36,3.85
1982-02-15,32.9,12.8,6.2,10.5,19.635416666666668,4.05
1982-02-16,33.0,13.0,7.5,10.7,19.819324324324324,4.06
1982-02-17,31.3,12.2,6.1,10.0,23.32,3.745
1982-02-18,31.4,10.7,5.7,10.4,24.03,3.43
1982-02-19,31.7,11.8,4.6,10.4,22.67,4.64
1982-02-20,32.2,12.6,5.5,10.5,21.31,4.45
1982-02-21,31.6,11.6,5.3,10.7,21.44,3.58
1982-02-22,33.7,11.3,6.3,10.8,20.83,5.12
1982-02-23,34.1,12.2,6.7,11.0,20.84,4.5
1982-02-24,33.9,13.4,7.1,10.1,21.08,5.03
1982-02-25,33.6,14.3,8.2,10.5,21.32,4.2
1982-02-26,35.3,14.7,8.3,10.5,18.98,4.22
1982-02-27,34.6,15.3,6.5,10.4,18.32,4.72
1982-02-28,35.6,14.2,8.0,10.7,17.48,4.4
1982-03-01,33.0,13.4,7.9,10.3,19.68,5.23
1982-03-02,30.2,13.8,7.4,10.2,22.73,4.885
1982-03-03,30.9,8.8,7.5,10.1,22.37,4.54
1982-03-04,33.0,10.6,6.9,10.0,21.99,5.23
1982-03-05,34.7,9.3,11.6,10.4,23.57,5.16
1982-03-06,32.3,12.6,8.2,10.1,24.045,4.42
1982-03-07,28.9,11.2,7.3,10.0,24.52,3.68
1982-03-08,32.9,12.1,7.4,10.4,24.01,3.66
1982-03-09,34.3,11.8,8.0,10.4,24.295,3.64
1982-03-10,34.1,14.8,8.2,10.5,24.58,3.5
1982-03-11,33.7,12.8,8.2,10.1,24.21,6.055810810810811
1982-03-12,33.7,10.7,7.3,10.0,21.82,6.130555555555556
